file_name|success|fail|pourcentage
migrateur\Pigeon2[Ramier][!migrateur][!ESOD].jpg|1|0|100%
migrateur\Pigeon3[Ramier][!migrateur][!ESOD].jpg|1|0|100%
migrateur\Vanneau huppé1[!migrateur][!chassable].jpg|1|0|100%
migrateur\Vanneau huppé2[!migrateur][!chassable].jpg|1|0|100%
migrateur\Vanneau huppé3[!migrateur][!chassable].jpg|1|0|100%
montagne\Grand Tétras1[!sédentaire][!non chassable].jpg|1|0|100%
montagne\Grand Tétras2[!sédentaire][!non chassable].jpg|1|0|100%
montagne\Grand Tétras3[!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Avocette élégante1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Avocette élégante2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Avocette élégante3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Bernache cravant1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Bernache cravant2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Bernache cravant3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Cormoran1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Cormoran2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Cormoran3[!migrateur][!non chassable].jpg|0|1|0%
Protégés\Cygne tuberculé1[!sédentaire][!non chassable].jpg|0|1|0%
Protégés\Grue cendrée1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Grue cendrée2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Grue cendrée3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Grèbe huppé1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Grèbe huppé2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Harle bièvre1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Harle bièvre2[!migrateur][!non chassable].jpg|0|1|0%
Protégés\Harle bièvre3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Harle bièvre4[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Hérons1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Hérons2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Hérons3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Tadorne de Belon1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Tadorne de Belon2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Tadorne de Belon3[!migrateur][!non chassable].jpg|0|1|0%
Protégés\Autres\Bernache cravant1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Autres\Huppe fasciée1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Autres\Huppe fasciée2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Autres\Huppe fasciée3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Autres\Huppe fasciée4[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Autres\Pic1[!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Autres\Pic2[!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Autour des palombes[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Chouette1[Effraie][!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Chouette1[Hulotte][!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Chouette2[Effraie][!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Chouette2[Hulotte][!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Chouette3[Effraie][!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Chouette3[Hulotte][!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Epervier d'europe1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Epervier d'europe2[!migrateur][!non chassable].jpg|0|1|0%
Protégés\Rapaces\Faucon crécerelle1[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Faucon crécerelle2[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Faucon crécerelle3[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Faucon crécerelle4[!migrateur][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Hiboux1[!sédentaire][!non chassable].jpg|1|0|100%
Protégés\Rapaces\Hiboux2[!sédentaire][!non chassable].jpg|1|0|100%
sédentaire\Corvidé1[Corbeau freux][!male][!sédentaire][!chassable].jpg|1|0|100%
sédentaire\Corvidé1[Corneille noire][!femelle][!sédentaire][!ESOD].jpg|1|0|100%
sédentaire\Corvidé2[Corbeau freux][!male][!sédentaire][!chassable].jpg|1|0|100%
sédentaire\Corvidé2[Corneille noire][!femelle][!sédentaire][!ESOD].jpg|1|0|100%
sédentaire\Faisan vénéré[Coq faisan][!male][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Faisan1[Coq faisan][!male][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Faisan1[Faisandeau][!indifférentié][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Faisan1[Poule faisane][!femelle][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Faisan2[Coq faisan][!male][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Faisan2[Faisandeau][!indifférentié][!sédentaire][!chassable][!nidifuge].jpg|0|1|0%
sédentaire\Faisan2[Poule faisane][!femelle][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Faisan3[Poule faisane][!femelle][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Geai des chênes1[!sédentaire][!chassable].jpg|1|0|100%
sédentaire\Geai des chênes2[!sédentaire][!chassable].jpg|1|0|100%
sédentaire\Geai des chênes3[!sédentaire][!chassable].jpg|1|0|100%
sédentaire\Perdrix grise[Coq perdrix][!male][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Perdrix grise[Poule perdrix][!femelle][!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Perdrix rouge1[!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
sédentaire\Perdrix rouge2[!sédentaire][!chassable][!nidifuge].jpg|1|0|100%
